IrE,ErE,Reward,Param,Value,Q-value
0.49,0.35,0,infectionProbability,0.2,0
0.452,0.35,0,infectionProbability,0.4,0
0.358,0.344,0,infectionProbability,0.6,0
0.5,0.35,-0.142,infectionProbability,0.4,-0.0284
0.5,0.35,-0.142,infectionProbability,1,-0.0284
0.362,0.3,0,infectionProbability,0,0
0.5,0.35,-0.142,infectionProbability,1,-0.0511
0.442,0.35,0,infectionProbability,0.6,0
0.432,0.344,0,infectionProbability,1,-0.0409
0.5,0.35,-0.142,infectionProbability,0.6,-0.0284
0.46,0.35,-0.102,infectionProbability,0.8,-0.0204
0.464,0.35,-0.106,infectionProbability,0.2,-0.0212
0.3,0.334,0,infectionProbability,0,0
0.3,0.322,0,infectionProbability,0,0
0.362,0.326,0,infectionProbability,0,0
0.3,0.334,0,infectionProbability,0,0
0.3,0.31,0,infectionProbability,0,0
0.358,0.322,0,infectionProbability,0,0
0.3,0.336,0,infectionProbability,0,0
0.3,0.314,0,infectionProbability,0,0
0.3,0.25,0,averageRoomVentilationRate,3,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.3,0.29,0,averageRoomVentilationRate,1.2,0
0.3,0.264,0,averageRoomVentilationRate,2.4,0
0.3,0.234,0,averageRoomVentilationRate,2.4,0
0.3,0.148,0,averageRoomVentilationRate,3,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.3,0.33,0,averageRoomVentilationRate,0.6,0
0.3,0.202,0,averageRoomVentilationRate,3,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.312,0.184,0,averageRoomVentilationRate,2.4,0
0.3,0.338,0,averageRoomVentilationRate,1.2,0
0.3,0.296,0,averageRoomVentilationRate,1.8,0
0.356,0.242,0,averageRoomVentilationRate,1.8,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.346,0.23,0,averageRoomVentilationRate,1.8,0
0.3,0.252,0,averageRoomVentilationRate,2.4,0
0.3,0.226,0,averageRoomVentilationRate,2.4,0
0.402,0.27,-0.102,infectionProbability,0.4,-0.0431
0.3,0.25,0,infectionProbability,0,0
0.3,0.222,0,infectionProbability,0,0
0.422,0.33,-0.122,infectionProbability,1,-0.0571
0.482,0.35,-0.182,infectionProbability,0.4,-0.0709
0.276,0.35,0,infectionProbability,0.6,-0.0227
0.366,0.218,0,infectionProbability,0,0
0.3,0.22,0,infectionProbability,0,0
0.3,0.198,0,infectionProbability,0,0
0.358,0.244,0,infectionProbability,0,0
0.3,0.256,0,infectionProbability,0,0
0.3,0.208,0,infectionProbability,0,0
0.5,0.35,-0.224,infectionProbability,0.8,-0.0611
0.3,0.232,0,infectionProbability,0,0
0.3,0.196,0,infectionProbability,0,0
0.336,0.246,0,infectionProbability,0,0
0.3,0.246,0,infectionProbability,0,0
0.3,0.172,0,infectionProbability,0,0
0.3,0.266,0,infectionProbability,0,0
0.3,0.242,0,infectionProbability,0,0
0.3,0.346,0,averageRoomVentilationRate,0.6,0
0.3,0.334,0,averageRoomVentilationRate,1.2,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.3,0.346,0,averageRoomVentilationRate,0.6,0
0.3,0.306,0,averageRoomVentilationRate,1.8,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.302,0.238,0,averageRoomVentilationRate,1.8,0
0.3,0.302,0,averageRoomVentilationRate,1.8,0
0.3,0.33,0,averageRoomVentilationRate,1.2,0
0.33,0.288,0,averageRoomVentilationRate,1.2,0
0.3,0.2,0,averageRoomVentilationRate,3,0
0.3,0.282,0,averageRoomVentilationRate,1.8,0
0.346,0.334,0,averageRoomVentilationRate,0.6,0
0.3,0.25,0,averageRoomVentilationRate,2.4,0
0.3,0.33,0,averageRoomVentilationRate,1.2,0
0.37,0.35,0,averageRoomVentilationRate,0,0
