IrE,ErE,Reward,Param,Value,Q-value
0.484,0.35,0,infectionProbability,0.2,0
0.5,0.35,0,infectionProbability,0.8,0
0.358,0.304,0.126,infectionProbability,0,0.0126
0.5,0.35,-0.142,infectionProbability,0.8,-0.0133
0.3,0.326,0,infectionProbability,0,0.0122
0.362,0.286,0,infectionProbability,0,0.0119
0.3,0.33,0,infectionProbability,0,0.0115
0.3,0.328,0,infectionProbability,0,0.0112
0.344,0.3,0,infectionProbability,0,0.0108
0.3,0.338,0,infectionProbability,0,0.0105
0.3,0.32,0,infectionProbability,0,0.0102
0.37,0.326,0,infectionProbability,0,0.0099
0.3,0.338,0,infectionProbability,0,0.0096
0.3,0.31,0,infectionProbability,0,0.0093
0.354,0.326,0,infectionProbability,0,0.009
0.3,0.338,0,infectionProbability,0,0.0087
0.3,0.308,0,infectionProbability,0,0.0085
0.352,0.334,0,infectionProbability,0,0.0082
0.3,0.334,0,infectionProbability,0,0.008
0.3,0.306,0,infectionProbability,0,0.0077
0.3,0.298,0,averageRoomVentilationRate,"18,000",0
0.3,0.19,0,averageRoomVentilationRate,"30,000",0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.334,0,averageRoomVentilationRate,"12,000",0
0.3,0.19,0,averageRoomVentilationRate,"24,000",0
0.3,0.304,0,averageRoomVentilationRate,"18,000",0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.308,0.168,0,averageRoomVentilationRate,"30,000",0
0.3,0.302,0,averageRoomVentilationRate,"18,000",0
0.3,0.178,0,averageRoomVentilationRate,"30,000",0
0.338,0.338,0,averageRoomVentilationRate,0.6,0
0.3,0.294,0,averageRoomVentilationRate,"18,000",0
0.3,0.234,0,averageRoomVentilationRate,"24,000",0
0.352,0.35,0,averageRoomVentilationRate,0,0
0.3,0.25,0,averageRoomVentilationRate,"24,000",0
0.3,0.154,0,averageRoomVentilationRate,"30,000",0
0.362,0.186,0,infectionProbability,0,0.0075
0.3,0.182,0,infectionProbability,0,0.0073
0.3,0.172,0,infectionProbability,0,0.0071
0.356,0.206,0,infectionProbability,0,0.0069
0.3,0.178,0,infectionProbability,0,0.0066
0.3,0.168,0,infectionProbability,0,0.0064
0.358,0.238,0,infectionProbability,0,0.0063
0.3,0.196,0,infectionProbability,0,0.0061
0.3,0.13,0,infectionProbability,0,0.0059
0.362,0.228,0,infectionProbability,0,0.0057
0.3,0.178,0,infectionProbability,0,0.0055
0.3,0.128,0,infectionProbability,0,0.0054
0.354,0.206,0,infectionProbability,0,0.0052
0.3,0.18,0,infectionProbability,0,0.0051
0.3,0.142,0,infectionProbability,0,0.0049
0.338,0.256,0,infectionProbability,0,0.0048
0.3,0.204,0,infectionProbability,0,0.0046
0.3,0.14,0,infectionProbability,0,0.0045
0.3,0.23,0,infectionProbability,0,0.0043
0.3,0.18,0,infectionProbability,0,0.0042
0.3,0.142,0,averageRoomVentilationRate,"30,000",0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.286,0,averageRoomVentilationRate,"18,000",0
0.3,0.206,0,averageRoomVentilationRate,"18,000",0
0.3,0.248,0,averageRoomVentilationRate,"24,000",0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.304,0.214,0,averageRoomVentilationRate,"24,000",0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.3,0.196,0,averageRoomVentilationRate,"30,000",0
0.316,0.34,0,averageRoomVentilationRate,0.6,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.352,0.136,0,averageRoomVentilationRate,"30,000",0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.284,0,averageRoomVentilationRate,"18,000",0
0.36,0.224,0,averageRoomVentilationRate,"24,000",0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.326,0,averageRoomVentilationRate,"12,000",0
0.37,0.35,0,averageRoomVentilationRate,0,0
